Model,Fold,R²
Linear Regression,1,0.5223164596224323
Linear Regression,2,0.5261456303689405
Linear Regression,3,0.5218292420137884
Linear Regression,4,0.5208303175471136
Linear Regression,5,0.5300350401009687
Ridge Regression,1,0.5264075473767591
Ridge Regression,2,0.5217771956228634
Ridge Regression,3,0.5167566637671087
Ridge Regression,4,0.5187872890782237
Ridge Regression,5,0.5310423174769212
Lasso Regression,1,0.5167635973236779
Lasso Regression,2,0.5256018562672686
Lasso Regression,3,0.5207848105706259
Lasso Regression,4,0.5170303118814539
Lasso Regression,5,0.5170497240637575
Elastic Net,1,0.5269927941761802
Elastic Net,2,0.5338261603428438
Elastic Net,3,0.5358486601607023
Elastic Net,4,0.5197946595780693
Elastic Net,5,0.523290554577645
Decision Tree,1,0.5124964871482097
Decision Tree,2,0.5042418948111442
Decision Tree,3,0.5108978986090837
Decision Tree,4,0.4993123535024566
Decision Tree,5,0.5126203311544337
Random Forest,1,0.5130452623015151
Random Forest,2,0.509597045379661
Random Forest,3,0.5219412909038571
Random Forest,4,0.5147786032293559
Random Forest,5,0.5114715560941886
Gradient Boosting,1,0.5363464403428728
Gradient Boosting,2,0.5207455323809809
Gradient Boosting,3,0.524409714350583
Gradient Boosting,4,0.5318535183629034
Gradient Boosting,5,0.5061671455049541
AdaBoost,1,0.471715765156939
AdaBoost,2,0.458137347622273
AdaBoost,3,0.487141018108747
AdaBoost,4,0.47574958897203456
AdaBoost,5,0.4708645167774461
Extra Trees,1,0.5047382698043659
Extra Trees,2,0.5108515765143392
Extra Trees,3,0.529656826512952
Extra Trees,4,0.5339448336222684
Extra Trees,5,0.53561983432364
Bagging,1,0.4841270221069709
Bagging,2,0.4619267583990513
Bagging,3,0.4754835548528086
Bagging,4,0.4674782480751756
Bagging,5,0.4637764032112144
XGBoost,1,0.528755141537679
XGBoost,2,0.520384818336157
XGBoost,3,0.5209248018829895
XGBoost,4,0.5253507239730167
XGBoost,5,0.5251406417930424
LightGBM,1,0.5221968419088778
LightGBM,2,0.5217566703793872
LightGBM,3,0.5159669221313798
LightGBM,4,0.5321495509892955
LightGBM,5,0.5294561376004882
KNN,1,0.45378102189916236
KNN,2,0.4653932352661818
KNN,3,0.47038247530621047
KNN,4,0.4721441709347314
KNN,5,0.46701248176365695
MLP Neural Net,1,0.5130004001491253
MLP Neural Net,2,0.5291401197506544
MLP Neural Net,3,0.5257830537256971
MLP Neural Net,4,0.5246784307011969
MLP Neural Net,5,0.5411722648236991
